id,text,IPA
1138,Мой парикмахер всегда делает красивый стрижку,m aɪ p a k r i x m aɪ x i k l u n s e ŋ ɡ d a n d e l aɪ t k k r a d s e v oː s k r ʃ k o 
1139,Белый свет,b i l i s n i ŋ k 
1140,Возможно я ошибся номером...,v a z e l m ɔ ʒ n ʌ ʃ ʉ p s ɛ n oː m y k l ʌ m 
1141,Я уже поставил белье в стирку.,a o r a p v a s s t a v i b i l j o v s t i k k o 
1142,Горячий кофе на завтрак - прекрасное начало дня,a k k r a tʃ ɪ k ɔ f i m e z a f k ʌ k p k r i k k k r a s e n aɪ m e t e l z ə n e 
1143,Ещё один выпуск сериала вышел,j e s oː a n d i ŋ o n v y p u s k s e k r j a l ʌ v ø ʃ ʌ 
1144,Серый кот спит на теплой кровати,s e k r i k o t s p i t n e t o p o l i k k r a v a ts i t 
1145,Горячий песок под ногами,ɡ a k r ɛ tʃ e t i s ɔ k p o l t ə n ʌ n ɡ a n i x 
1146,Мягкий шелк,m e x k i ʃ ʃ ɑ l k 
1147,Вдумчивость - залог уверенного будущего,v o d o m tʃ y v aɪ s t e z ɛ l ɔ k o v e k r e n n a v a b o n d o ʃ e v a 
1148,Границы - это только прошлое,ɡ ɯ k r a ɲ i ts i e t e t o k a p k r ɑ ʃ l o e 
1149,Наблюдать за закатом,n a m v i l o n d a t e z e z a q a h k a m 
1150,"Помогите мне разобраться в этой задаче, пожалуйста!",p a m a ɡ i d e m n e k r a z a v o k r a ts a r a t e z a d a tʃ e p a ʒ a l u s t a 
1151,Мечты становятся реальностью только при наличии целеустремленности и терпения.,m e tʃ s t e s t e n o v e ts e k r e a l n e s s t i t a l k a p k r i n a l i tʃ i ts e l s k r i p l o n e s t i i t e k ʃ t e n i e 
1152,Концерт любимого исполнителя,k a n ts e k r i t l a v e m a v a i s p a l n i ts e l d a 
1153,Забыл ответить на сообщение.,z a m b ʌ l ʌ t ʌ v e t i d n e θ a b ʃ e n i ʎ e 
1154,Горячий пирог,ɡ ʌ k r e ts i v i k ts o ŋ k 
1155,"Пожалуйста, подтвердите свое имя и фамилию.",p a ʒ a l o s t a p a t u t v e k r e d i t e s e v a j o i m e i f a m i l i u 
1156,Светлая луна на ночном небе,s e r e t a v l a e l o n a n e n tʃ e n o n e b e 
1157,Серый камень,e k l i k a ɲ i n t 
1158,Сильными делает опыт,s i l n e m i n d i l a j e t ɔ p t 
1159,Карандаш без грифеля,k a k k r a n t a ʃ b e z y ŋ k k r i f ɪ n d a 
1160,Дегтярное мыло,d e ɡ t e k r u n a j e m y l 
1161,Быстрый поток,v ø s k r i f a l t o k 
1162,Темная комната,t o m n aɪ j q o m e t e 
1163,Масло оливковое или подсолнечное?,m a s i l aː l i v k a v a i l e p a d s o l n i tʃ n e e 
1164,Нашел потерявшихся щенят,ɛ ʃ ɔ l t b a d eː ɡ r ɛ f ʃ oː x ts ə ʃ ɪ n n ɪ t 
1165,Медленный рост,m e d ʌ l d e n n i k r o t 
1166,Стрижка волос,s k r i f k a v a l o s 
1167,Затененный уголок в парке,e t i ɲ o n n i u ɡ a l o k ʌ v p a r k i 
1168,Ребенок рисует на стене,ɡ r iː m v oː n ʌ n ɡ r i θ oː t n e s t j eː n i 
1169,Раньше столько не спал,ɡ r a n ʃ ø s d ɔ l t k n i θ p a v 
1170,Веселый день рождения с друзьями,v e f e l e d i n ɡ r a ʒ a d e n e a s ɡ r o ts e a n i 
1171,Чистая вода,ʃ iː s t aɪ a v a d t a 
1172,Давай встретимся завтра.,ə n d a v aɪ s k r eː t i m θ e ʌ l z ɑː v r a 
1173,Дружба несет поддержку и понимание,d o k r o ʒ v a n e ts a t p a d d e k r u s k o e p a n i m a n e e 
1174,Работа над собой - ключ к личностному росту,k r a v o t a n e n t s e v o k l o tʃ k e l i n e s t n o m o k r o s s t o 
1175,Выглядишь хорошо сегодня!,v e ɡ l e d e ʃ x a k r a ʃ o s e v o l t i n e 
1176,"Птицы на проводе сидят, щебечут",t e ts e n a p k r a v a d e s e n d a d ʃ i b e tʃ o t 
1177,Густой суп,ɡ o s t aɪ s h o p 
1178,Первый поцелуй влюбленных,p i k k r o v aɪ p a t ts e l oɪ o m v ʌ ʎ o b v ʌ l o n n e x 
1179,Громкий смех,ɡ ə k k r ʌ m p k ɪ x t t ə n m eː x 
1180,Нежный поцелуй,n e ʒ y d n aɪ p ɑ t s e l o ʃ 
1181,Он уже ушел домой,ɑ n o ʒ ɛ ʌ ʃ ɔ l d a m m oː ð 
1182,Кто-то оставил свою тарелку,k t a t a s t a v i s e v a j o t a k p r j e n t o 
1183,Жизнь без приключений скучна,ʒ e z i n b e z p k r i k l o e n i s t k o t f n a 
1184,"Не знаю, в чём дело",n eː ð ə n aː ʌ v tʃ ʌ m d i l 
1185,Ветер дул сильно с юга,r e t e k r u d o l t s i l e n a s e dʒ o ŋ k a 
1186,Утренний туман на полях,o h t k r e n i t o m a n n a p a l e q 
1187,Поздравляю с выпуском! Куда пойдешь после школы,f a n a d o ɡ r a v ʌ l aɪ j o s v e p o s k a p k o n t a p aɪ i d œ ʃ p s n l e ʃ k o l e 
1188,Пена на берегу океана,p e n e n n e n v e k r r i k o a k e a l n o 
1189,Огромный белый медведь,a ŋ ɡ ʌ k r a m n i ɪ n b e l i m i n t i v e n t 
1190,Улыбка – залог успеха в любых начинаниях,o l y p k a z e l o ɡ o θ s p e x a v l o b y x n a tʃ i n a n i a x 
1191,Глубокий взгляд может раскрыть много тайн,ɡ ʌ l o v ɔ ɡ i v z ə n ɡ ʌ l ɛ d m ɔ ʒ ʌ t k r e θ k k r i d m u n o ɡ a t aɪ n 
1192,Синий океан,i n i a k eː t 
1193,Гладкая поверхность,l a d k aɪ a p a v eː p r x ʌ n h ʌ t 
1194,"Мир не справедлив, но это не повод для отчаяния.",m i k r n e s p o k r a v e d l y v n o e t a n e m p o v a d v i l a a l t tʃ a e n i a 
1195,Морской бриз,m a k r i s s k oɪ b u k k r i 
1196,Тихий звук ручья,d i x i z v o k k r o tʃ i e 
1197,Сколько времени уходит на то чтобы приготовить обед?,v i t s k l ç k a v k r i m i n i oː x ɔ n d i d n a t ɔ ʃ t ɔ v ə p k r i ŋ ɡ a t ɔ r v i d a v i l b 
1198,Там очень красивый закат..,d a m ɔ l t ʃ i n k k r a s t i v i z a k a l t 
1199,"Ой, я почти опаздал на свидание",oː ɪ v ɛ tʃ t i a n b a l z ə d a l n ɛ s ə v ɪ d a n 
1200,Это не мое дело.,eː t n n i m a j o n t i l v a 
1201,Почта работает до скольких часов?,o tʃ ʃ t a k k r a v o t a j e t n d a s k a l k e tʃ e s o 
1202,Рекомендую начать с самых классических книг.,k r e k a m i n d oː o n a ɛ t s s a m ʌ x k l e s i tʃ ʌ s k i x k ʌ ɲ i ŋ p 
1203,Что посмотреть сегодня вечером?,ə ʃ t o p e s o n a l t k r e k s e v ɔ l t ə n e a v l t e k a 
1204,Я должен подготовиться к презентации в понедельник,j e d ɔ l ʒ ə n p a n d k a t a v e ts a k k p r e z e n t a s i ʌ v p a n i n t e l n i 
1205,Мягкий пушистый котенок,m e x k eː f ʃ y s t ɪ x q a tʃ j o n n 
1206,Горячий шоколад в холодную погоду,ɡ a k p r a tʃ i v f e k a l a d v x a l o t u n o j o p a l ɡ o n d o 
1207,Большой груз,v a l t f ɔ m ɡ ʌ k ɡ r o z 
1208,Верьте в себя и свои возможности.,v e r k t i ə v s ɪ l b e ɪ s t v aɪ eː v aɪ z ə m ɔ r ə n n ɪ s t ɪ 
1209,Ржавый замок,k r ʌ ʒ a v ɨ z a m o k 
1210,Это очень легко делается!,e t e a l tʃ i n l e x k o n d i n l a j e ts a 
1211,"Забери меня через 20 минут, я уже выхожу из дома.",z a v e k r i m e n e t e k r e z d e v a l ts e t m i n o t j a o ʒ e v o x a ʒ o i z d o m a 
1212,Листья падали с деревьев осенью,l i θ t i p a d a l i s n d e k p r e v i e v o l s e n i v o 
1213,Остановка автобуса тут?,a s t a n ɔ f ɡ r a v t o m v o l θ e t o t 
1214,Сладкий мед,s a n l a t k i m i d 
1215,Серый дождливый день может вызывать депрессию,e k r i d a ʒ t d e l e v e d e n m a l ʒ a t v ʌ z ə v aɪ t d e p k r e θ e o 
1216,Необходимость изобретать – это мать всех изобретений,n i a b x a d e m a s t i z a b o k e t a t e t e m a t u f s i x e z z b u k r i t e n i 
1217,Тебе это нужно принять так как есть и продолжать жить,t e m v e t e n o ʒ n p k r i ɲ e d k a k t a k k a k e s t i v f k r a d a l ʒ a t ʒ y t 
1218,Семья - это опора и поддержка в жизни.,s e n m i j e e t a a p o k r a i p a n d d e k r u s k a u v ʒ e z n i 
1219,Утренняя зарядка для здоровья,o l t k r i n e z e k p r e t k a n t i l a z d a k r ɔ v i e 
1220,Работа над ошибками - ключ к успеху,p r a m v o t a n a d a ʃ o b k a m i k l o tʃ k u s p e x o 
1221,Чего ты так расстроился?,tʃ eː v ɔ d ø d a k k r e θ k r oː l d s a 
1222,В которой час мы выходим на работу завтра?,o v k a t a k r i tʃ e s m e v e x o d o p n a k r a m v o t o z a v k r a 
1223,Нужно начинать экономить,n o ʒ o n a n a tʃ i n aɪ t e k a n o m i t 
1224,Темный глаз,j a m n e n k o l aː v 
1225,Кто-нибудь может помочь мне приготовить обед ?,k t o n e m v oː t m ɔ ʒ ʌ t p a m ɑ l t f ʌ m n e p k r i ŋ k a t o v i t a b e d 
1226,Переливающийся радугой дождь,v e k k r i l d e v aɪ o l f e s j a k r a n d o ŋ ɡ aɪ d o ʒ u d 
1227,Темный лес полон тайн,ʌ m n i d e s p o l ə n t aɪ n 
1228,Магический сумрак леса,m a ɡ i tʃ i s k i s o m k r ɯ q l e s a 
1229,Сколько стоит это изделие?,m e s k o l k a s t oː t eː t a i z i d e l e 
1230,Этот год прошел так быстро!,ɛ t a t ə ŋ ɡ o l d f k r a ʃ f ɔ t a k v ø s k r a 
1231,Поездка на море запоминается на всю жизнь,f a j e z k k a n l m o k r i i z e p o m i n aɪ e ts ʌ n e v f ɔ ʒ y z ə n 
1232,Тихий вечер,t ɪ x i v ɪ tʃ ʌ k 
1233,"Мне пришлось провести целую ночь, чтобы закончить свою работу.",m e n e m p k r e f o l o s p k r a v i s t i ts e l oɪ o l n o tʃ ʃ t o b e z a k o n t r i t ts e v a o k r a m b o l t o 
1234,Красное яблоко на зеленой траве выглядит аппетитно,k o k r a s i n e j e a v l a k a n e z e l o n aɪ t k r a v e v y m ɡ l e d i t a p e tʲ i t n a 
1235,Без интернета тут очень скучно,v e z i n t e k r i n e t a t o t a l tʃ e n s t k o l ʃ n 
1236,Купить лекарства от насморка,q o p i t l e ɡ a k s t o r a o t n a ts o a p k a 
1237,Цветущие поля весной,v e t o ʃ e e p a l a v i s a n oɪ 
1238,Сладкий вкус шоколада,a s t a l a t k i u f k u s s ʃ a k a l a n t a 
1239,Увлечения делают жизнь интереснее,l e tʃ e n i n d i l a j o t v y ʒ y z ə n y n t e k p r e s n e ɪ 
1240,Здоровый образ жизни важен для долголетия,e z d a k l a v ɔ b o k r a z ʒ e z n i v a ʒ y n t e l a d a l ɡ a l l e t e a 
1241,Тихий шелест листвы,d iː x iː ʃ ʌ l ə s t l ɪ θ t ə v ø 
1242,Витамин С помогает противостоять инфекциям,i t e n m i n e p a m a ɡ aɪ t t r a z e v a s s t a j d i n x e k ts e m 
1243,Нежное солнце,ɲ e ʒ u n a j e s o n t 
1244,Сорокалетний юбилей это повод для тостов,s ʌ k r y k a l e t n i ə m b i l i e t a p ɔ v a t d l a t s t a v 
1245,"Не шумите, шум раздражает",ɲ e f o m e n t e f o p p r e z o ɡ r a ʒ a e t 
1246,Бодрящая утренняя зарядка,v a d o k r a ʃ e o t k r i n e z a k e n t k a 
1247,Тихий шепот,d iː x i ʃ ɔ p ʌ l t 
1248,Следуй своим мечтам и они станут реальностью.,s e l e d oɪ s v aɪ p m i t t a e a n i s f a n o t k r e a l m e s s t e o 
1249,Глубокий смысл,ɡ ʌ l ʌ v o k i s m i s ʌ 
1250,Радужный закат заливает небо красками,k r a n d o ʒ o n e z e k a t n s e n d e v aɪ e t n e m b a k k r a s k a m i 
1251,Счастье - это внутренний покой и умиротворение.,ʃ aɪ s s t i e t a v o n o k r i n i p o q l oɪ i o m y k r e t ʌ v a k i n i l i 
1252,Ребенок играет с мячом на пляже,i t b v ɔ n a k e ŋ k k r aɪ k s e n e tʃ ɔ p n a p ə n d l dʒ ɹ ə 
1253,Душевный разговор,ɔ f ɛ v ʌ n ɨ ɡ r ʌ ð ʌ ɡ a v oː k r 
1254,Он точно знал что делает и двигался целеустремленно,o n d o tʃ n e z i n a l ʃ t o n d e l a j e t i n t v i ŋ ɡ a l s t e ts e l e o s k r i m i l o n 
1255,Древесная стружка,d ə p r e v e s i n aɪ s k r o v k a 
1256,Беззаботный день,d e z z a b ɔ t t ə n i d i n 
1257,Тебе налить кофе?,t e n v i r n e l i t k o f e 
1258,Изменения начинаются с внутреннего мира.,i z ð m i n n i n a tʃ e n aɪ j o ts e s v o n o k t r e n n e v ʌ m i k r 
1259,Было хорошо повидаться с тобой!,v o l a x ʌ k r a ʃ o p a r i d a ts e s s t a m b oː x 
